2J754,Black,Trailer,DOMESTIC TRAILER,2002,Trailer,2019-06-19,Central
2K187,Black,Homebuilt,DOMESTIC TRAILER,2015,Trailer,2019-08-04,Central
2K326,Silver,Trailer,ROAD CHIEF,2015,Trailer,2019-10-09,Counties/Manukau
2K738,Grey,Trailer,HOMEBUILT,2015,Trailer,2019-05-16,Central
2K813,Grey,Trailer,BOAT,2015,Boat Trailer,2019-04-18,Waitemata
2L556,Silver,Trailer,TRADESMAN 8X5,2015,Trailer,2019-04-23,Waikato
2L834,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-08-20,Canterbury
2N406,Silver,Trailer,VALUE CARS 8X5 TANDE,2015,Trailer,2019-07-25,Canterbury
2P501,Black,Trailer,HOMEBUILT,2015,Trailer,2019-05-30,Central
2P517,Silver,Oleary,8X4.7,2015,Trailer,2019-04-26,Central
2P916,Silver,Trailer,NTC,2015,Trailer,2019-05-02,Northland
2R299,Silver,Homebuilt,FLAT DECK,2015,Trailer,2019-05-20,Canterbury
2R462,White,Trailer,TANDEM FURNITURE,2015,Trailer - Heavy,2019-05-13,Canterbury
2R530,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-10-09,Eastern
2R533,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-07-25,Eastern
2R535,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-10-09,Eastern
2R544,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-24,Counties/Manukau
2S429,Silver,Trailer,PRESCOTT,2015,Trailer - Heavy,2019-04-23,Bay of Plenty
2U849,Black,Trailer,BRIFORD,1998,Trailer,2019-09-26,Waitemata
2U852,White,Trailer,FLAT-DECK TRAILER,2015,Trailer,2019-07-23,Waitemata
2U878,Silver,Trailer,TRAILPRO TRADESMAN,2015,Trailer,2019-08-20,Waikato
2W605,Grey,Trailer,TANDEM,2015,Trailer,2019-07-02,Waikato
2W956,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-27,Canterbury
2W975,Silver,Trailer,ELITE 7X4,2015,Trailer,2019-06-06,Auckland City
2Y940,Silver,Trailer,JETSKI,2015,Boat Trailer,2019-05-20,Auckland City
3002K,Silver,Kea,K64EN,1995,Trailer,2019-07-18,Northland
303AN,Brown,Trailer,HOMEMADE,1999,Trailer,2019-10-10,Canterbury
30D85,Silver,Trailer,GT DIGGER TRAILER,2019,Trailer - Heavy,2019-08-21,Counties/Manukau
30G19,Silver,Trailer,DOMESTIC,2019,Trailer,2019-08-05,Auckland City
30S61,Silver,Trailer,BSTB85,2019,Boat Trailer,2019-05-08,Waitemata
3109Y,Silver,Homebuilt,DOMESTIC TRAILER,2001,Trailer,2019-09-24,Auckland City
3126Y,Silver,Pinto,KINGSIDER,2001,Trailer,2019-04-20,Northland
31N17,Grey,Trailer,KERRICK,2019,Trailer - Heavy,2019-06-26,Auckland City
31P47,Silver,Factory Built,CNELL,2019,Trailer,2019-10-05,Counties/Manukau
31P98,Silver,Trailer,D-MAX DIGGER 2.5T,2019,Trailer - Heavy,2019-09-01,Counties/Manukau
31WEN,Blue,Landini,GHIBLI 90,2003,Tractor,2019-08-30,Central
3237F,Black,Trailer,BOAT,1975,Boat Trailer,2019-09-16,Bay of Plenty
32B32,Silver,Trailer,FOXENG 650,2019,Trailer,2019-06-07,Central
32H46,Silver,Trailer,M J SINGLE AXLE,2019,Trailer,2019-09-12,Southern
32K82,Grey,Trailer,BOAT,2019,Boat Trailer,2019-06-15,Counties/Manukau
32N34,White,Caravan,CRUSADER,1976,Caravan,2019-10-01,Northland
32QWA,Grey,Homebuilt,TRAILER,1988,Trailer,2019-05-13,Waikato
3351Y,Silver,Trailer,SPORTLINE,2001,Boat Trailer,2019-09-12,Wellington
33A27,Silver,Trailer,DOMESTIC TRAILER,2019,Trailer,2019-05-21,Wellington
33A72,Silver,Trailer,WARRIOR,2014,Trailer,2019-05-27,Counties/Manukau
33G74,Grey,Trailer,DOMESTIC,2018,Trailer,2019-05-12,Waitemata
33H90,Silver,Trailer,TRAYLA,2019,Trailer,2019-05-27,Wellington
33Q34,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,2019-09-02,Counties/Manukau
33R38,Silver,Trailer,HOMEMADE,2009,Trailer,2019-07-09,Counties/Manukau
34E63,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,2019-09-04,Central
34HBE,Blue,Campomatic,,1979,Caravan,2019-08-14,Northland
34TNI,Red,Kawasaki,ER,1997,Roadbike,2019-07-21,Wellington
34Y48,Silver,Trailer,E.J ENG,2019,Trailer,2019-08-19,Central
34Z96,Silver,Trailer,PRO COMMERCIAL,2019,Trailer - Heavy,2019-08-09,Waitemata
34ZHB,Black,Suzuki,VL800,2008,Roadbike,2019-08-07,Wellington
35A59,Silver,Trailer,MAKZ GEAR BUNK,2017,Boat Trailer,2019-09-02,Counties/Manukau
35C63,Black,Homebuilt,CAR TRAILER,2019,Trailer,2019-05-29,Central
35J56,Grey,Trailer,DOMESTIC,2010,Trailer,2019-08-08,Bay of Plenty
35J70,Silver,Trailer,TUFF,2019,Trailer,2019-08-22,Waikato
