2W605,Grey,Trailer,TANDEM,2015,Trailer,2019-07-02,Waikato
2W956,Silver,Briford,TRAILER,2015,Trailer - Heavy,2019-05-27,Canterbury
2W975,Silver,Trailer,ELITE 7X4,2015,Trailer,2019-06-06,Auckland City
2Y940,Silver,Trailer,JETSKI,2015,Boat Trailer,2019-05-20,Auckland City
2Z489,Silver,Trailer,DOMESTIC TRAILER,2005,Trailer,2019-03-08,Wellington
3002K,Silver,Kea,K64EN,1995,Trailer,2019-07-18,Northland
30D85,Silver,Trailer,GT DIGGER TRAILER,2019,Trailer - Heavy,2019-08-21,Counties/Manukau
30E41,Silver,Trailer,COMPASS-KHG74CHDST,2019,Trailer,2019-04-09,Waitemata
30G19,Silver,Trailer,DOMESTIC,2019,Trailer,2019-08-05,Auckland City
30P73,Silver,Trailer,DOMESTIC,2019,Trailer,2019-03-11,Counties/Manukau
30S61,Silver,Trailer,BSTB85,2019,Boat Trailer,2019-05-08,Waitemata
3126Y,Silver,Pinto,KINGSIDER,2001,Trailer,2019-04-20,Northland
31N17,Grey,Trailer,KERRICK,2019,Trailer - Heavy,2019-06-26,Auckland City
31P98,Silver,Trailer,D-MAX DIGGER 2.5T,2019,Trailer - Heavy,2019-09-01,Counties/Manukau
31T26,Grey,Trailer,HOMEBUILT,2003,Trailer,2019-03-14,Waitemata
31WEN,Blue,Landini,GHIBLI 90,2003,Tractor,2019-08-30,Central
31WPZ,Red,BMW,R1200,1999,Roadbike,2019-03-17,Canterbury
3270M,Red,Homebuilt,HELMACK,1991,Trailer,2019-03-07,Canterbury
32B32,Silver,Trailer,FOXENG 650,2019,Trailer,2019-06-07,Central
32K82,Grey,Trailer,BOAT,2019,Boat Trailer,2019-06-15,Counties/Manukau
32L71,Silver,Trailer,ROAD CHIEF,2019,Trailer,2019-03-29,Waikato
32QWA,Grey,Homebuilt,TRAILER,1988,Trailer,2019-05-13,Waikato
32WCG,White,Moto Guzzi,LE MANS,1982,Roadbike,2019-03-16,Central
33A27,Silver,Trailer,DOMESTIC TRAILER,2019,Trailer,2019-05-21,Wellington
33A72,Silver,Trailer,WARRIOR,2014,Trailer,2019-05-27,Counties/Manukau
33G74,Grey,Trailer,DOMESTIC,2018,Trailer,2019-05-12,Waitemata
33H90,Silver,Trailer,TRAYLA,2019,Trailer,2019-05-27,Wellington
33Q34,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,2019-09-02,Counties/Manukau
33R38,Silver,Trailer,HOMEMADE,2009,Trailer,2019-07-09,Counties/Manukau
33WEQ,Red,PGO,COMET E1,2004,Moped,2019-03-20,Tasman
34HBE,Blue,Campomatic,,1979,Caravan,2019-08-14,Northland
34TNI,Red,Kawasaki,ER,1997,Roadbike,2019-07-21,Wellington
34Y48,Silver,Trailer,E.J ENG,2019,Trailer,2019-08-19,Central
34Z96,Silver,Trailer,PRO COMMERCIAL,2019,Trailer - Heavy,2019-08-09,Waitemata
34ZHB,Black,Suzuki,VL800,2008,Roadbike,2019-08-07,Wellington
35C63,Black,Homebuilt,CAR TRAILER,2019,Trailer,2019-05-29,Central
35J56,Grey,Trailer,DOMESTIC,2010,Trailer,2019-08-08,Bay of Plenty
35J70,Silver,Trailer,TUFF,2019,Trailer,2019-08-22,Waikato
35M82,Black,Homebuilt,DOMESTIC TRAILER,2019,Trailer,2019-07-28,Central
35YLA,Black,Yamaha,SCOOTER,2006,Moped,2019-06-07,Wellington
366Y,Grey,Trailer,LOCAL,1962,Trailer,2019-06-30,Canterbury
369QD,White,Anglo,,1970,Caravan,2019-05-18,Tasman
36G37,Silver,Briford,TRAILER 8X4,2014,Trailer,2019-04-05,Waitemata
36G38,Silver,Briford,TRAILER 8X4,2017,Trailer,2019-04-14,Waitemata
36M80,Black,Trailer,HOMEBUILT,1989,Trailer,2019-07-06,Tasman
36T41,Silver,Trailer,VOYAGER,2013,Boat Trailer,2019-08-16,Counties/Manukau
36ZJW,Red,Triumph,CROSSLAND,2008,All Terrain Vehicle,2019-06-29,Central
371BW,Grey,Trailer,BURNETT,1959,Trailer - Heavy,2019-03-19,Canterbury
37P32,Black,Trailer,CAR TRAILER,2019,Trailer,2019-08-12,Counties/Manukau
3822W,Grey,Homebuilt,BOAT TRAILER,1984,Trailer,2019-07-11,Waitemata
3884I,Blue,Trailer,HOMEBUILT,1996,Trailer - Heavy,2019-05-22,Central
38EEF,Green,Classic,13,1977,Caravan,2019-05-20,Canterbury
38R28,Silver,Trailer,DIAMOND,2019,Trailer,2019-08-20,Central
38T73,Silver,Trailer,TANKER,2019,Trailer,2019-08-30,Northland
39G67,Silver,Caravan,OLYMPIC MARAPNON,2019,Caravan,2019-08-12,Waitemata
39USD,Blue,Suzuki,DR250R,2003,Roadbike,2019-08-06,Canterbury
39ZJP,Green,Suzuki,FXR150,1999,Roadbike,2019-04-01,Canterbury
3A476,Black,Trailer,HUNTER BUILT,2015,Trailer,2019-05-10,Southern
3B797,Silver,King Long,TRAILER,2015,Trailer,2019-07-01,Waikato
3C639,Black,Trailer,DOMESTIC TRAILER,2015,Trailer,2019-06-11,Wellington
3D867,Silver,Pinto,DIY WELLSIDE,2015,Trailer,2019-04-15,Waitemata
3E186,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-07-31,Bay of Plenty
3E870,Silver,Pinto,DIY WELLSIDE,2015,Trailer,2019-03-25,Waitemata
3E974,Silver,Trailer,FOSMAIN,2015,Trailer,2019-05-15,Waikato
3F697,Silver,Factory Built,HOSKING,1998,Boat Trailer,2019-05-20,Northland
3F731,Silver,Trailer,COMPASS CT95,2015,Trailer,2019-08-19,Northland
3G395,Silver,Trailer,AES WATERBLASTER,2015,Trailer - Heavy,2019-07-18,Waitemata
3GH1,White,,FURNWARE,1979,,2019-03-05,Eastern
3GUX,Grey,Trailer,LOCAL,1979,Trailer,2019-06-14,Bay of Plenty
3H705,Blue,Homebuilt,WOODSPLITTER,2016,Trailer,2019-08-19,Central
3K483,Silver,Voyager,TRAILER,2015,Boat Trailer,2019-03-08,Waikato
3K777,Silver,Trailer,8X5,2015,Trailer,2019-08-12,Central
3N234,Silver,Titan,9X5 TANDEM,2015,Trailer,2019-04-03,Auckland City
3N630,White,Reid,TRAILER,2015,Trailer - Heavy,2019-04-25,Auckland City
3N653,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-03-29,Waitemata
3N975,Blue,Trailer,6X4 TRAILER,2000,Trailer,2019-03-11,Bay of Plenty
3P477,Silver,Trailer,HOMEBUILT,2015,Trailer,2019-05-18,Waitemata
3Q364,Silver,Trailer,TRAILERWORLD 6X4 H/S,2015,Trailer,2019-05-27,Counties/Manukau
3S344,Silver,Trailer,AAK400HP,2016,Boat Trailer,2019-03-14,Waitemata
